Date(MM/DD/YY),Time,SectionNumber,Time From Beginning,Responce Time,Operand 1,Operand 2,Operation,Correct Answer,Chosen Answer,Choice1,Choice2,Choice3,Choice4
Operation:,0 add,1 subtract,2 multiply,3 divide
08/03/2019,11:58:05,1,7.199871,7.195839,127,105,1,22,22,23,32,12,22,
08/03/2019,11:58:07,1,8.562,1.353746,3,7,2,21,21,28,4,21,18,
08/03/2019,11:58:09,1,10.83128,2.268923,201,101,0,302,302,312,304,292,302,
08/03/2019,11:58:20,1,21.48201,10.65031,9,6,2,54,54,60,45,48,54,
08/03/2019,11:58:22,1,24.47407,2.991493,49,7,3,7,7,8,7,56,6,
08/03/2019,11:58:26,1,28.15859,3.683971,104,201,0,305,305,315,305,306,304,
08/03/2019,11:58:27,1,29.4297,1.270157,4,3,2,12,12,15,8,1,12,
08/03/2019,11:58:31,1,32.8046,3.373661,24,8,3,3,3,3,16,5,4,
08/03/2019,11:58:35,1,36.56069,3.754658,205,70,0,275,275,265,275,273,277,
08/03/2019,11:58:37,1,38.96205,2.401031,200,208,0,408,408,408,398,418,409,
08/03/2019,11:58:41,1,42.65186,3.689156,64,21,1,43,43,45,41,43,44,
08/03/2019,11:58:44,1,46.05459,3.402351,20,91,0,111,111,110,
